[15:03:01] Start!!
[15:03:04] 0.9651777 mAp
[15:03:04] 0.9653572 mAp
[15:03:04] 0.9655348 mAp
[15:03:04] 0.9656181 mAp
[15:03:04] 0.965584 mAp
[15:03:04] 0.965519 mAp
[15:03:04] 0.9654478 mAp
[15:03:04] 0.96538 mAp
[15:03:04] 0.965313 mAp
[15:03:04] 0.9653919 mAp
[15:03:04] 0.9654165 mAp
[15:03:04] 0.965407 mAp
[15:03:04] 0.9653977 mAp
[15:03:04] 0.9653563 mAp
[15:03:04] 0.9654803 mAp
[15:03:04] 0.965412 mAp
[15:03:04] 0.965386 mAp
[15:03:04] 0.9653159 mAp
[15:03:04] 0.9652642 mAp
[15:03:04] 0.9653186 mAp
[15:03:04] 0.9654362 mAp
[15:03:04] 0.9655699 mAp
[15:03:04] 0.9657022 mAp
[15:03:04] 0.965769 mAp
[15:03:04] 0.965736 mAp
[15:03:04] 0.9656756 mAp
[15:03:04] 0.9656094 mAp
[15:03:04] 0.9655466 mAp
[15:03:04] 0.9654845 mAp
[15:03:04] 0.9655383 mAp
[15:03:04] 0.9655477 mAp
[15:03:04] 0.9655281 mAp
[15:03:04] 0.9655086 mAp
[15:03:04] 0.9654663 mAp
[15:03:04] 0.9655223 mAp
[15:03:04] 0.9654585 mAp
[15:03:04] 0.9654228 mAp
[15:03:04] 0.9653571 mAp
[15:03:04] 0.9652684 mAp
[15:03:04] 0.9653049 mAp
[15:03:04] 0.965391 mAp
[15:03:04] 0.9655066 mAp
[15:03:04] 0.9656211 mAp
[15:03:04] 0.9656804 mAp
[15:03:04] 0.9656503 mAp
[15:03:04] 0.9655949 mAp
[15:03:04] 0.9655342 mAp
[15:03:04] 0.9654765 mAp
[15:03:04] 0.9654194 mAp
[15:03:04] 0.9654648 mAp
[15:03:04] 0.9654682 mAp
[15:03:04] 0.9654448 mAp
[15:03:04] 0.9654217 mAp
[15:03:04] 0.965381 mAp
[15:03:04] 0.9654087 mAp
[15:03:04] 0.9653496 mAp
[15:03:04] 0.96531 mAp
[15:03:04] 0.9652487 mAp
[15:03:04] 0.9651679 mAp
[15:03:04] 0.9652098 mAp
[15:03:04] 0.9653073 mAp
[15:03:04] 0.9654363 mAp
[15:03:04] 0.9655643 mAp
[15:03:04] 0.9656335 mAp
[15:03:04] 0.9656094 mAp
[15:03:05] 0.9655597 mAp
[15:03:05] 0.9655049 mAp
[15:03:05] 0.9654523 mAp
[15:03:05] 0.9654 mAp
[15:03:05] 0.9654551 mAp
[15:03:05] 0.9654642 mAp
[15:03:05] 0.9654449 mAp
[15:03:05] 0.9654258 mAp
[15:03:05] 0.965391 mAp
[15:03:05] 0.9654121 mAp
[15:03:05] 0.9653583 mAp
[15:03:05] 0.9653202 mAp
[15:03:05] 0.9652642 mAp
[15:03:05] 0.9652162 mAp
[15:03:05] 0.9652578 mAp
[15:03:05] 0.9653378 mAp
[15:03:05] 0.965318 mAp
[15:03:05] 0.965275 mAp
[15:03:05] 0.9652323 mAp
[15:03:05] 0.9652509 mAp
[15:03:05] 0.9652146 mAp
[15:03:05] 0.9652104 mAp
[15:03:05] 0.9651745 mAp
[15:03:05] 0.9651705 mAp
[15:03:05] 0.9652323 mAp
[15:03:05] 0.9652457 mAp
[15:03:05] 0.9652304 mAp
[15:03:05] 0.9652153 mAp
[15:03:05] 0.965185 mAp
[15:03:05] 0.9652079 mAp
[15:03:05] 0.9651593 mAp
[15:03:05] 0.9651257 mAp
[15:03:05] 0.9650753 mAp
[15:03:05] 0.9650329 mAp
[15:03:05] 0.9650617 mAp
[15:03:05] 0.9651294 mAp
[15:03:05] 0.9651107 mAp
[15:03:05] 0.9650715 mAp
[15:03:05] 0.9650393 mAp
[15:03:05] 0.9650289 mAp
[15:03:05] 0.9649978 mAp
[15:03:05] 0.9649811 mAp
[15:03:05] 0.9649504 mAp
[15:03:05] 0.9649341 mAp
